location_id,name,place_id
807510,Berth,ChIJpcrtOUNd1moRM9SNgN0396c
6013062,Cargo Restaurant,ChIJS7DTKF1d1moR7RwcyPt11R8
15343302,Corniche Mediterranean Restaurant,ChIJb6CD9nxd1moR4D8Bjby-jo8
2334084,Squires Loft Docklands,ChIJka0pG1xd1moRq3Exn_PRVZ0
9597889,Docklands Lotus,ChIJVUuZakNd1moRNzSh7g6cg8Q
4791759,Almina,ChIJIbVG7Wdd1moR5b-kZ6Bgck8
1014829,Steakhouse Grill 66,ChIJVb3BOl1d1moRw5SofFEAhcs
722342,Bhoj,ChIJo7ELLl1d1moRpMkA8RZuQtU
805770,Achelya Turkish,ChIJJUQqO0Nd1moRkcwfMYTfaOM
4373160,Pok Pok Thai Restaurant,ChIJQ7OA71td1moRcDGHldt6bHQ
19140287,Yassas - The Greek Way,ChIJRUy38gRd1moRsnvL_C3h6no
12999960,Dock 18,ChIJVVUVl2dd1moRFsbXyd08cJY
19139921,Thai Thani,ChIJL3HkxqVd1moRo6-gpK07_FQ
3396530,Nine Elephants,ChIJ6Z3hjlpd1moRngM0SRt9DgI
4785103,Gold Leaf Restaurant,ChIJZSCZZWhd1moR8rCoXoWRNAs
1014448,Renzo's Bar Cafe Italiano,ChIJg9BhK11d1moR9bkSU6EBXbQ
8736418,Tap831,ChIJ87xcp15d1moRKQkIyhD0WJo
2318629,Platform 28,ChIJRav1jVpd1moRHiehg0PNjbw
17615609,Fukutontei Ramen,ChIJH871CnRd1moROdIc0ILdMmQ
12275529,Old Man Pho,ChIJjanRFGhd1moRsvJsmWaR6KA
13196451,South Yarra,ChIJBVT8tZ1C1moR3IU3WuZdzcM
13196451,South Yarra,ChIJFZvIyJ1C1moRz2lGr9fbh0o
10466626,Atlas Dining,ChIJQ_3VNiRo1moRooREwqEzkhc
723201,Caffe e Cucina,ChIJm1oZ3IJC1moRp2og8RmmUxM
724013,Da Noi,ChIJUc9Lz51C1moRn6zjuDZgzu4
11712324,The Meat & Wine Co South Yarra,ChIJL3fHDINC1moRHS67xr68fio
4038885,Thirty Eight Chairs,ChIJK3URt4JC1moRRZS4-HardUU
944556,Chez Olivier,ChIJb_hh2yRo1moR4rbmucYGPuQ
17713443,Omnia Bistro & Bar,ChIJC7lsQJ5C1moRdqnGg4UJVIM
3350617,Cosi Bar Ristorante,ChIJMbjq351C1moRIF6yNSR_YOs
10441516,Steer Dining Room,ChIJESEEXoNC1moR8HpsSvFwd_k
724893,France Soir,ChIJo5CTOJ5C1moR4QDlRgXnx84
2616586,Bistro Gitan,ChIJM3mtIh5o1moRJjBQJHr8fYs
11906334,Gilson South Yarra,ChIJZUeIv6FC1moRDgU0kg7V02A
967988,Squires Loft South Yarra,ChIJY3dgAZ1C1moR_8qJy8XIJZw
5076484,Blossom Thai,ChIJ8TSEBYNC1moR7kjIHwFh5Cc
