cuisine,place_id,name,formatted_address,user_ratings_total,rating,geometry.location.lat,geometry.location.lng,price_level,suburb,delivery,dine_in,reservable,serves_beer,serves_breakfast,serves_brunch,serves_dinner,serves_lunch,serves_vegetarian_food,serves_wine,takeout,wheelchair_accessible_entrance,curbside_pickup
International,ChIJJXFPe7FC1moR0iR-cRU7_F0,Jarrah Restaurant & Bar,"26 Southgate Ave, Southbank VIC 3006, Australia",29,4.2,-37.8202763,144.9671612,1,Southbank,FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,TRUE,NA,TRUE,NA
Steakhouse,ChIJs-Q2IlNd1moRXYbJPnkbnjY,Rockpool Bar & Grill,"Crown Casino, 8 Whiteman St, Southbank VIC 3006, Australia",1849,4.1,-37.8218482,144.96027,4,Southbank,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Japanese,ChIJ4QDlhK1C1moRHe7gAH08xSo,Miyako Japanese Cuisine & Teppanyaki,"Southgate Arts & Leisure Precinct, Shop, UR2/3 Southgate Ave, Southbank VIC 3006, Australia",513,4.1,-37.8201378,144.9665086,2,Southbank,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Italian,ChIJuf4fgVNd1moRCOxhBhnDtyM,Rosetta Ristorante,"Crown Riverwalk, Crown Melbourne, 8 Whiteman St, Southbank VIC 3006, Australia",595,4,-37.8215883,144.9605757,2,Southbank,FALSE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,FALSE,TRUE,FALSE
Japanese,ChIJs-Q2IlNd1moRcLgzy7bPCDQ,Koko,"Level 3, Crown Towers, 8 Whiteman St, Southbank VIC 3006, Australia",553,4.3,-37.8220786,144.9598287,3,Southbank,FALSE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,NA,TRUE,FALSE,TRUE,NA
Asian,ChIJLVH3bKlC1moRx3TW_R-cYnw,Ayam Chef,"67-69 Coventry St, Southbank VIC 3006, Australia",766,4.4,-37.8297918,144.9679135,1,Southbank,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Australian,ChIJgZOibbFC1moRMjs9MlqIuIc,BearBrass,"GR3A/3 Southgate Ave, Southbank VIC 3006, Australia",984,4,-37.8201819,144.9658567,2,Southbank,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA
French,ChIJs-Q2IlNd1moRkCphqzaZs1Q,Bistro Guillaume,"8, Riverside, Crown Melbourne, Whiteman St, Southbank VIC 3006, Australia",671,4,-37.8221868,144.9594149,3,Southbank,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA
Asian,ChIJdQILjrJC1moRkAesYODW0jk,Thailander Riverside Quay,"4/4 Riverside Quay, Southbank VIC 3006, Australia",151,3.8,-37.8211391,144.9633121,NA,Southbank,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Seafood,ChIJs-Q2IlNd1moRupUM9Le77E4,Waterfront Southgate,"Southgate Precinct, 20/3 Southgate Ave, Southbank VIC 3006, Australia",1068,4.3,-37.8202217,144.9656542,3,Southbank,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA
Japanese,ChIJs-Q2IlNd1moRSMORcPpPc54,Nobu,"Crown Riverwalk, Crown Melbourne, 8 Whiteman St, Southbank VIC 3006, Australia",1215,3.9,-37.8220682,144.959651,4,Southbank,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,NA,TRUE,FALSE,TRUE,NA
Italian,ChIJuf4fgVNd1moRohOMs6SuXCY,Gradi at Crown Melbourne,"8 Whiteman St, Southbank VIC 3006, Australia",3027,4.2,-37.8227725,144.9583346,3,Southbank,FALSE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Italian,ChIJs-Q2IlNd1moRWMeetOC96a8,Cervo,"Crown Riverwalk, Crown Melbourne, 28/8 Whiteman Street, Southbank VIC 3006, Australia",558,3.6,-37.823093,144.957826,2,Southbank,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,FALSE
Chinese,ChIJgZOibbFC1moREGFW5OuNjPk,Red Emperor (Southgate) Chinese Restaurant,"M10/3 Southgate Ave, Southbank VIC 3006, Australia",657,4,-37.8200814,144.9664159,2,Southbank,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Seafood,ChIJs-Q2IlNd1moRGGzNOjgw9Hg,Conservatory,"Crown Melbourne, Crown Towers, Level 1/8 Whiteman St, Southbank VIC 3006, Australia",2062,4.3,-37.82242,144.9594709,3,Southbank,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,NA
Chinese,ChIJG2V9klNd1moRPQYIb3q-5EQ,Man Tong Kitchen,"Crown Entertainment Complex, 8 Whiteman St, Southbank VIC 3006, Australia",443,3.2,-37.8234367,144.9580861,1,Southbank,FALSE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Asian,ChIJ4-k_G65C1moRX3g97je74tA,Blondie Bar,"Cnr Southbank Boulevard &, 31 Sturt St, Southbank VIC 3006, Australia",263,4.1,-37.8238338,144.9678462,2,Southbank,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
Asian,ChIJaThpTshC1moRHUu5_bXML2A,Southbank Noodle Bar,"12/89 City Rd, Southbank VIC 3006, Australia",96,4.1,-37.8225212,144.9651031,1,Southbank,TRUE,TRUE,NA,NA,NA,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA
Japanese,ChIJNU4yR7FC1moRjYwkSIJQblo,Saké Restaurant & Bar,"100 St Kilda Rd, Southbank VIC 3004, Australia",601,4.2,-37.8199177,144.9677708,3,Southbank,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA
Bar,ChIJ36msuKFD1moRRp5EwQvZODQ,Yarra Botanica,"Southbank Promenade, Southbank VIC 3006, Australia",944,4.2,-37.8203048,144.9635772,2,Southbank,FALSE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,TRUE,NA
Japanese,ChIJQX_3jbJC1moRwI-QdZK3f3g,Infinite Wasabi,"3/4 Riverside Quay, Southbank VIC 3006, Australia",NA,ChIJQX_3jbJC1moRwI-QdZK3f3g,-37.8210698,144.9632597,4.7,Southbank,TRUE,TRUE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA
