address,latitude,created date,longitude,organisation,classification,name,category,title,type,website,tree common name,tree scientific name,planted date,theme,sub theme,info,female,male,wheelchair,operator,baby_facil
"Harbour Esplanade between Bourke Street and La Trobe Street approximately 71m NW of 119-129 Harbour Esplanade, Docklands, 3008",-37.81712234813621,2000,144.9452797351126,City of Melbourne,Sculpture,Cow Up A Tree,artworks,,,,,,,,,,,,,,
"Caravel Lane between Rakaia Way and Dopel Way approximately 4m NE of Lexy Group, 37 Caravel Lane, Docklands, 3008",-37.81452431106299,2006,144.9406088500888,VicUrban,Unknown,Ned and Dan,artworks,,,,,,,,,,,,,,
"Fitzroy Gardens approximately 47m NW of Holy Trinity Anglican Church, 72-80 Clarendon Street, East Melbourne, 3002",-37.81376751528837,1936,144.9827717629652,City of Melbourne,Sculpture,Boy and Pelican,artworks,,,,,,,,,,,,,,
"Jeffcott Street between Spencer Street and King Street approximately 12m North of Committo, Unit 501-502, 7 Jeffcott Street, West Melbourne, 3003",-37.81147505688505,1995,144.95316544392688,City of Melbourne,Sculpture,City Living,artworks,,,,,,,,,,,,,,
"Intersection of Spring Street and Bourke Street approximately 21m South of Victorian Parliament, 160 Spring Street, East Melbourne, 3002",-37.81129433750379,1994,144.97316901010473,City of Melbourne,Sculpture,Another View Site 1,artworks,,,,,,,,,,,,,,
"Swanston Street between Collins Street and Little Collins Street approximately 25m NE of Chatime, Shop 7, Ground, 101 Swanston Street, Melbourne, 3000",-37.81510417049893,1992,144.96646930561022,City of Melbourne,Sculpture,Coat of Arms,artworks,,,,,,,,,,,,,,
Kings Domain,-37.825114779701025,1934,144.97607623602647,City of Melbourne,Memorials,Pioneer Women''''''''s Memorial,artworks,,,,,,,,,,,,,,
"Fitzroy Gardens approximately 89m NW of City of Melbourne, Sinclairs Cottage, Fitzroy Gardens, Wellington Parade, East Melbourne, 3002",-37.81371709478504,c1933,144.98014070275568,City of Melbourne,Memorials,Waterfall Fountain,artworks,,,,,,,,,,,,,,
Argyle Square,-37.802834190764166,1915,144.96638556021273,City of Melbourne,Memorials,William Ievers (Snr) Memorial Drinking Fountain,artworks,,,,,,,,,,,,,,
"Fitzroy Gardens approximately 68m East of Toilet Fitzroy Gardens, 2 Lansdowne Street, East Melbourne, 3002",-37.81407567751222,1975,144.9785602548242,City of Melbourne,Sculpture,Mary Gilbert Memorial,artworks,,,,,,,,,,,,,,
Railway Viewing Platform,-37.80881692877836,1994,144.94368830128568,City of Melbourne,Sculpture,Railway Viewing Platform,artworks,,,,,,,,,,,,,,
"Fitzroy Gardens approximately 74m East of Toilet Fitzroy Gardens, 2 Lansdowne Street, East Melbourne, 3002",-37.81387432873141,c1900,144.9785955087628,City of Melbourne,Memorials,Conservatory Fountain,artworks,,,,,,,,,,,,,,
"Errol Street between Victoria Street and Queensberry Street approximately 3m North of Australian Postal Corporation, Ground, 72-82 Errol Street, North Melbourne, 3051",-37.803341823088594,1877,144.94973917434706,City of Melbourne,Memorials,Henderson Drinking Fountain,artworks,,,,,,,,,,,,,,
"Epsom Road between Westbourne Road and Smithfield Road approximately 48m North of 2 Coopers Lane, Kensington, 3031",-37.79020534335677,1990-92,144.92393918797248,City of Melbourne,Sculpture,Lynch''''s Bridge Mosaic Mural,artworks,,,,,,,,,,,,,,
Parliament Reserve,-37.80977063998943,1981,144.97348397026266,City of Melbourne,Memorials,Coles Fountain,artworks,,,,,,,,,,,,,,
"Kings Domain approximately 93m NE of Marquis of Linlithgow Memorial Reserve, St Kilda Road, Melbourne, 3004",-37.82630110126131,1958,144.97281890582408,City of Melbourne,Sculpture,Sir Thomas Blamey Memorial,artworks,,,,,,,,,,,,,,
"Russell Street between Little Collins Street and Bourke Street approximately 17m West of Edoya Japanese Restaurant, Ground, 138-144 Russell Street, Melbourne, 3000",-37.81304936449115,1993,144.96821095479558,City of Melbourne,Sculpture,A History Apparatus - Vessel Craft & Beacon,artworks,,,,,,,,,,,,,,
King & Victoria Street Reserve,-37.805233515414656,1926,144.94868041774336,City of Melbourne,Memorials,North Melbourne War Memorial,artworks,,,,,,,,,,,,,,
Kings Domain,-37.82427267818169,1952,144.97321342759503,City of Melbourne,Sculpture,King George V Memorial,artworks,,,,,,,,,,,,,,
Queen Victoria Gardens,-37.82208606658947,1973,144.97181101425943,City of Melbourne,Sculpture,Lake Waterfall,artworks,,,,,,,,,,,,,,
Queen Victoria Gardens,-37.822335480105195,1913,144.9718353146044,City of Melbourne,Sculpture,Janet Lady Clarke Memorial Sculpture,artworks,,,,,,,,,,,,,,
"Approximately 37m SE of Macchiato On Collins, Unit 2, Ground, 446-452 Collins Street, Melbourne, 3000",-37.81765977602296,1978,144.95977299962593,City of Melbourne,Sculpture,John Batman Memorial [2],artworks,,,,,,,,,,,,,,
"Victoria Point approximately 42m NW of Jolie Brows, 758 Bourke Street, Docklands, 3008",-37.81823232301213,2005,144.94744462620787,VicUrban,Sculpture,Anchor,artworks,,,,,,,,,,,,,,
"Victoria Parade Reserve approximately 24m North of Fire Services Museum Of Victoria, 108-122 Victoria Parade, East Melbourne, 3002",-37.808248962797364,1937,144.9753153437232,City of Melbourne,Memorials,Samuel Mauger Drinking Fountain,artworks,,,,,,,,,,,,,,
"Collins Street between Spring Street and Exhibition Street approximately 22m SE of The Melbourne Club, 36 Collins Street, Melbourne, 3000",-37.81372573647249,1905,144.97261542256064,City of Melbourne,Sculpture,Sir Samuel Gillott,artworks,,,,,,,,,,,,,,
Marquis of Linlithgow Memorial Reserve,-37.82666405636878,1911,144.9719166488942,City of Melbourne,Sculpture,Marquis of Linlithgow,artworks,,,,,,,,,,,,,,
Carlton Gardens South,-37.80580965134325,1965,144.97252879114416,City of Melbourne,Sculpture,Spray Lake,artworks,,,,,,,,,,,,,,
"NewQuay Promenade approximately 11m South of Pavilion 1, 100 Newquay Promenade, Docklands, 3008",-37.815901938178676,2007,144.93893011222016,City of Melbourne,Sculpture,Meeting 1,artworks,,,,,,,,,,,,,,
Docklands Park,-37.82186285910264,2005,144.94700936190569,City of Melbourne,Sculpture,Blowhole,artworks,,,,,,,,,,,,,,
"Approximately 38m NE of 13 Swanston Street, Melbourne, 3000",-37.81696330579109,1925,144.96748759277108,City of Melbourne,Sculpture,Captain Matthew Flinders Statue,artworks,,,,,,,,,,,,,,
"Birrarung Marr approximately 32m South of Toilet Birrarung Marr, Batman Avenue, Melbourne, 3000",-37.81859572477289,2006,144.97182169813522,City of Melbourne,Indigenous,Birrarung Wilam [Common Ground],artworks,,,,,,,,,,,,,,
"Swanston Street between Little Lonsdale Street and La Trobe Street approximately 9m SE of Unit 1102, 339 Swanston Street, Melbourne, 3000",-37.810372108766074,1994,144.96407645127653,City of Melbourne,Sculpture,Resting Place,artworks,,,,,,,,,,,,,,
"Clayton Reserve approximately 36m NE of Footprint Furniture, 11 Boundary Road, North Melbourne, 3051",-37.795663554735185,c1935,144.9389347962098,City of Melbourne,Memorials,Clayton Reserve Drinking Fountain,artworks,,,,,,,,,,,,,,
"Exhibition Street Reserve approximately 42m East of Madinah Next, 11-17 Victoria Street, Melbourne, 3000",-37.80747037586185,1901,144.96859332734795,City of Melbourne,Memorials,Grant''s Fountain,artworks,,,,,,,,,,,,,,
"Fitzroy Gardens approximately 28m SW of The Pavilion, Fitzroy Gardens, Wellington Parade, East Melbourne, 3002",-37.81325721271155,1948,144.98101234462126,City of Melbourne,Sculpture,Model Tudor Village,artworks,,,,,,,,,,,,,,
"Swanston Street between Flinders Lane and Collins Street approximately 8m NW of A Prickly Affair, City Pillar, 74 Swanston Street, Melbourne, 3000",-37.815756293854626,1992,144.96681037690786,City of Melbourne,Sculpture,Painted Poles 2,artworks,,,,,,,,,,,,,,
"Bellair Street between Macaulay Road and Wight Street approximately 3m SE of Spinifex Cafe, 192 Bellair Street, Kensington, 3031",-37.79405884375063,1996,144.93020538561703,City of Melbourne,Ceramic,Bellair Street Mosaics,artworks,,,,,,,,,,,,,,
"Intersection of Flinders Street and Queens Bridge approximately 32m West of Customs Square, 401 Flinders Street, Melbourne, 3000",-37.81981971289524,1997,144.96023598489086,City of Melbourne,Sculpture,Blue Line,artworks,,,,,,,,,,,,,,
"The Avenue between MacArthur Road and Gatehouse Street approximately 28m NE of CitiPower, Substation 22 Rear, 163 Gatehouse Street, Parkville, 3052",-37.79217291379831,1916,144.9580902280125,City of Melbourne,Memorials,George Hawkins Ievers Memorial Drinking Fountain,artworks,,,,,,,,,,,,,,
Kings Domain South,-37.82721242566816,2001,144.97297393104864,City of Melbourne,Memorials,Australian Hellenic Memorial,artworks,,,,,,,,,,,,,,
"Princes Park approximately 55m West of Ikon Park, Antenna Ikon Park, Royal Parade, Carlton North, 3054",-37.78366119106134,c1935,144.96000400655757,City of Melbourne,Memorials,Reynold''''s Reserve Drinking Fountain,artworks,,,,,,,,,,,,,,
Wurundjeri Way between Bourke Street and Flinders Street,-37.82072476624313,2003,144.9523913264332,VicUrban,Sculpture,Eagle,artworks,,,,,,,,,,,,,,
Alexandra Gardens,-37.8217592722394,c1920,144.9747725916972,City of Melbourne,Memorials,Victorian Rowing Association World War 1 Memorial,artworks,,,,,,,,,,,,,,
"Fitzroy Gardens approximately 92m West of City of Melbourne, Sinclairs Cottage, Fitzroy Gardens, Wellington Parade, East Melbourne, 3002",-37.81457924729898,1973,144.97949435961337,City of Melbourne,Sculpture,Captain Cook,artworks,,,,,,,,,,,,,,
Chinatown Plaza,-37.811253732897356,unknown,144.969347694358,City of Melbourne,Sculpture,Tianjin Garden Chinese Lion Guardians,artworks,,,,,,,,,,,,,,
"Hub@Docklands approximately 36m West of De Asian Flavours, 2A Waterview Walk, Docklands, 3008",-37.820108015038734,2005,144.94791455836793,VicUrban,Sculpture,IOU,artworks,,,,,,,,,,,,,,
Melbourne Park,-37.81912215786392,2003,144.97407581389808,City of Melbourne,Sculpture,Eel Trap,artworks,,,,,,,,,,,,,,
"Fitzroy Gardens approximately 72m West of Toilet Opposite, 150 Clarendon Street, East Melbourne, 3002",-37.81182206803026,1864,144.9826570546702,City of Melbourne,Sculpture,Bandstand,artworks,,,,,,,,,,,,,,
"Birrarung Marr approximately 15m SW of Toilet Birrarung Marr, Batman Avenue, Melbourne, 3000",-37.818422539139505,2008,144.97164501742284,City of Melbourne,Sculpture,Once Upon a Slime,artworks,,,,,,,,,,,,,,
,-37.78930375418185,1930,144.97217890820102,City of Melbourne,Memorials,Sir William Brunton Drinking Fountain,artworks,,,,,,,,,,,,,,
"Approximately 6m NE of 88 Australian Wharf, Docklands, 3008",-37.821399856414146,2011,144.94170955070416,City of Melbourne,Sculpture,The River Runs Through It,artworks,,,,,,,,,,,,,,
"Kangan TAFE approximately 44m SW of Collins Square, 18 Batmans Hill Drive, Docklands, 3008",-37.821740069332854,2006,144.9491420809476,VicUrban,Sculpture,Car Nuggets,artworks,,,,,,,,,,,,,,
"Kings Domain approximately 80m North of Marquis of Linlithgow Memorial Reserve, St Kilda Road, Melbourne, 3004",-37.82594145408015,1904,144.9718567903399,City of Melbourne,Sculpture,South African War Memorial (Memorial to Fallen Soldiers),artworks,,,,,,,,,,,,,,
Queen Victoria Gardens,-37.82184118717754,1907,144.9724790217425,City of Melbourne,Sculpture,Queen Victoria Memorial,artworks,,,,,,,,,,,,,,
"Weedon Reserve approximately 33m South of 10 Wellington Parade, East Melbourne, 3002",-37.81704008332346,1923,144.98958111417957,City of Melbourne,Sculpture,Motorcyclist Harold Parsons Memorial,artworks,,,,,,,,,,,,,,
"The Arkley approximately 22m West of Aqua Hair Design, Tenancy 12, 15 Saint Mangos Lane, Docklands, 3008",-37.8143592312937,2005,144.94113017903652,VicUrban,Illustrations,Outside Inside Out,artworks,,,,,,,,,,,,,,
"Approximately 51m West of Oak and Vine, Unit 1R, Ground, 60 Market Street, Melbourne, 3000",-37.817677055142426,1977-79,144.95999529331093,City of Melbourne,Sculpture,John Pascoe Fawkner Memorial,artworks,,,,,,,,,,,,,,
"Waterview Walk between Bourke Street and Batmans Hill Drive approximately 41m West of Nawab's Palace Dine In, 20 Waterview Walk, Docklands, 3008",-37.8191897005887,2005,144.9469984588285,VicUrban,Sculpture,Continuum,artworks,,,,,,,,,,,,,,
"Swanston Street between Bourke Street and Little Bourke Street approximately 9m NE of Mdranking Melbourne, 215-217 Swanston Street, Melbourne, 3000",-37.81270567583463,1996,144.96515394995706,City of Melbourne,Sculpture,The Echo,artworks,,,,,,,,,,,,,,
Kings Domain South,-37.828313799536176,2014,144.97398190437264,City of Melbourne,Sculpture,Australian Turkish Friendship Memorial (Seeds of Friendship),artworks,,,,,,,,,,,,,,
Kings Domain South,-37.82871122068199,1994,144.9741444132895,City of Melbourne,Memorials,Maltese War Memorial,artworks,,,,,,,,,,,,,,
Birrarung Marr,-37.820082557142705,1999,144.97571669031538,City of Melbourne,Sculpture,Speakers Corner,artworks,,,,,,,,,,,,,,
"Treasury Gardens approximately 40m NE of Tigerspike, Ground, Mezzanine & Level 1, 49 Spring Street, Melbourne, 3000",-37.81367295311916,1902,144.9743448588091,City of Melbourne,Sculpture,Sir William John Clarke,artworks,,,,,,,,,,,,,,
"Fitzroy Gardens approximately 55m West of City of Melbourne, Sinclairs Cottage, Fitzroy Gardens, Wellington Parade, East Melbourne, 3002",-37.81438929428271,c1850,144.97991018542538,City of Melbourne,Sculpture,Boy on a Turtle,artworks,,,,,,,,,,,,,,
"Treasury Gardens approximately 79m SE of Department Of Education & Early Childhood Developm, Department of Education, 2 Treasury Place, East Melbourne, 3002",-37.81365974522775,1965,144.9763544710972,City of Melbourne,Memorials,John F. Kennedy Memorial,artworks,,,,,,,,,,,,,,
"Flinders Street between Market Street and William Street approximately 28m SW of Immigration Museum, 400-424 Flinders Street, Melbourne, 3000",-37.81941335748653,1994,144.9601986635865,City of Melbourne,Sculpture,Another View Site 8,artworks,,,,,,,,,,,,,,
"Gordon Reserve approximately 38m East of Cafe Excello, Ground, 1-3 Little Collins Street, Melbourne, 3000",-37.8123634964432,1931,144.97374510260238,City of Melbourne,Sculpture,Adam Lindsay Gordon Memorial,artworks,,,,,,,,,,,,,,
"Melbourne Zoological Gardens approximately 80m West of House 1, Melbourne Zoological Gardens, Elliott Avenue, Parkville, 3052",-37.78477297621499,1926,144.95236482989228,City of Melbourne,Sculpture,Peter Pan,artworks,,,,,,,,,,,,,,
Queen Victoria Gardens,-37.82220980420751,1925,144.9713353620987,City of Melbourne,Sculpture,The Water Nymph,artworks,,,,,,,,,,,,,,
"Bourke Street between Swanston Street and Elizabeth Street approximately 23m NW of Bardot, Shop 3-4, Ground, 351 Bourke Street, Melbourne, 3000",-37.81409769225873,Unveiled 12 September 1994,144.96340079187658,City of Melbourne,Sculpture,The Public Purse,artworks,,,,,,,,,,,,,,
"Fitzroy Gardens approximately 69m SE of Toilet Fitzroy Gardens, 2 Lansdowne Street, East Melbourne, 3002",-37.814306776660544,1940,144.9784994254141,City of Melbourne,Sculpture,Diana and the Hounds,artworks,,,,,,,,,,,,,,
"Etihad Stadium approximately 80m South of Peppers Docklands Hotel, 681 La Trobe Street, Docklands, 3008",-37.815324425802274,1999,144.94707294769273,VicUrban,Sculpture,Threaded Field,artworks,,,,,,,,,,,,,,
"Newquay Promenade approximately 5m SE of Monument Park at NewQuay, Monument Park, 21 Newquay Promenade, Docklands, 3008",-37.8142715063488,2014,144.94320071567864,City of Melbourne,Sculpture,Monument Park,artworks,,,,,,,,,,,,,,
"Treasury Gardens approximately 33m NE of Taxi Services Commission, Lower Ground & Level 24-25, 1 Spring Street, Melbourne, 3000",-37.81502994395132,c1890,144.97493152226934,City of Melbourne,Sculpture,Horse Hitching Post,artworks,,,,,,,,,,,,,,
Queen Victoria Gardens,-37.82239149972142,2013,144.97029065221597,City of Melbourne,Sculpture,Frog,artworks,,,,,,,,,,,,,,
Birrarung Marr,-37.8186665820053,2002,144.97410019862608,City of Melbourne,Sculpture,Federation Bells,artworks,,,,,,,,,,,,,,
"J J Holland Park approximately 51m SW of Kensington Community Recreation Centre, Kensington Community Centre, 111 Altona Street, Kensington, 3031",-37.79662907585139,2006,144.924306747344,City of Melbourne,Sculpture,Commonwealth Games Aquatic Sculptures - Eels,artworks,,,,,,,,,,,,,,
"Royal Park approximately 66m SE of Monaro, 5 Southgate Street, Parkville, 3052",-37.78958485485513,2013,144.94300677170517,City of Melbourne,Sculpture,Fruition,artworks,,,,,,,,,,,,,,
Royal Park,-37.782561322013,1995,144.95329393076508,City of Melbourne,Sculpture,Zoo Paving,artworks,,,,,,,,,,,,,,
"Kings Domain approximately 79m East of Marquis of Linlithgow Memorial Reserve, St Kilda Road, Melbourne, 3004",-37.826773338974526,1950,144.972752128938,City of Melbourne,Sculpture,Sir John Monash,artworks,,,,,,,,,,,,,,
"13 Harbour Esplanade, DOCKLANDS",-37.8220182164578,2005,144.946871022845,Beveridge Williams Surveyors,Art,Blowhole,artworks,,,,,,,,,,,,,,
"200 Little Collins Street, MELBOURNE",-37.8140548689972,1864,144.96733868317,City of Melbourne,Art,Bandstand,artworks,,,,,,,,,,,,,,
"Birrarung Marr, MELBOURNE",-37.8186738864394,2002,144.974167165492,City of Melbourne,Art,Federation Bells,artworks,,,,,,,,,,,,,,
"98 Swanston Street, MELBOURNE",-37.8151582937289,1992,144.966495940551,City of Melbourne,Art,Coat of Arms,artworks,,,,,,,,,,,,,,
"208 St Kilda Road, SOUTHBANK",-37.8236122113264,1908,144.970418561306,City of Melbourne,Monument,Edmund Fitzgibbon Memorial,artworks,,,,,,,,,,,,,,
"687 La Trobe Street, DOCKLANDS",-37.8153623400158,1999,144.946876084269,VicUrban (Docklands),Art,Threaded Field,artworks,,,,,,,,,,,,,,
"44 Swanston Street, MELBOURNE",-37.8164236569551,1993,144.967061542145,City of Melbourne,Art,Beyond the Ocean of Existence,artworks,,,,,,,,,,,,,,
"102 Swanston Street, MELBOURNE",-37.815081401373,1992,144.966458869013,City of Melbourne,Art,Coat of Arms,artworks,,,,,,,,,,,,,,
"348 Bourke Street, MELBOURNE",-37.8140976855607,1994,144.963400769342,City of Melbourne,Art,The Public Purse,artworks,,,,,,,,,,,,,,
"15 Harbour Esplanade, DOCKLANDS",-37.8218628257359,2005,144.947009412249,Beveridge Williams Surveyors,Art,Blowhole,artworks,,,,,,,,,,,,,,
"Old Observatory Site, Birdwood Avenue, MELBOURNE",-37.8297554405406,1965,144.974419726206,City of Melbourne,Monument,Edward George Honey Memorial,artworks,,,,,,,,,,,,,,
"443 Collins Street, MELBOURNE",-37.8176597509552,1978,144.959772957148,City of Melbourne,Monument,John Batman Memorial (2),artworks,,,,,,,,,,,,,,
"55B Newquay Promenade, DOCKLANDS",-37.8150960305524,2003,144.941483193022,VicUrban (Docklands),Art,Silence,artworks,,,,,,,,,,,,,,
"55B Newquay Promenade, DOCKLANDS",-37.8151070586048,2003,144.941546516146,VicUrban (Docklands),Art,Silence,artworks,,,,,,,,,,,,,,
"11 Old Poplar Road, PARKVILLE",-37.7825613531513,1995,144.953293881649,City of Melbourne,Art,Zoo Paving,artworks,,,,,,,,,,,,,,
"Birrarung Marr, Batman Avenue, MELBOURNE",-37.8189109575006,1936,144.973021274734,City of Melbourne,Monument,Stapley Memorial Drinking Fountain,artworks,,,,,,,,,,,,,,
"173 Swanston Street, MELBOURNE",-37.8136854004532,1993,144.965574539781,City of Melbourne,Art,Three Businessmen Who Brought Their Own Lunch,artworks,,,,,,,,,,,,,,
"Queen Victoria Gardens, St Kilda Road, MELBOURNE",-37.822086065767,1973,144.971811018826,City of Melbourne,Art,Lake Waterfall,artworks,,,,,,,,,,,,,,
"684 Park Street, CARLTON NORTH",-37.7788722549869,1995,144.961103719498,City of Melbourne,Art,Within Three Worlds,artworks,,,,,,,,,,,,,,
"Enterprize Park, MELBOURNE",-37.8200765201921,2001,144.959699691425,City of Melbourne,Art,Scar - A Stolen Vision,artworks,,,,,,,,,,,,,,
"18 Spring Street, EAST MELBOURNE",-37.8136729461963,1902,144.97434487547,City of Melbourne,Monument,Sir William John Clarke,artworks,,,,,,,,,,,,,,
"5 Jeffcott Street, WEST MELBOURNE",-37.8114750198729,1995,144.953165492089,City of Melbourne,Art,City Living,artworks,,,,,,,,,,,,,,
"114 Russell Street, MELBOURNE",-37.8136957980367,1996,144.968513035861,City of Melbourne,Art,Ceremony and Vehicle for Conveying Spirit,artworks,,,,,,,,,,,,,,
"Queen Victoria Gardens, St Kilda Road, MELBOURNE",-37.8221241223436,c. 1970,144.970661980986,City of Melbourne,Art,Water Children,artworks,,,,,,,,,,,,,,
"Enterprize Park, MELBOURNE",-37.8200614090425,2001,144.959718171092,City of Melbourne,Art,Scar - A Stolen Vision,artworks,,,,,,,,,,,,,,
