latitude,longitude,type,info,category,female,male,wheelchair,operator,baby_facil,address,name,geometry,location_id
-37.815447719564624,144.96705501075527,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains,,,,,,,,POINT (144.96705501075527 -37.815447719564624),65
-37.839918521598555,144.9812959600913,Leaf Type / Dog Bowl,Fawkner Park,drinking_fountains,,,,,,,,POINT (144.9812959600913 -37.839918521598555),129
-37.81367564418339,144.98268520584864,Leaf Type / With Bottle Refill Tap,Fitzroy Gardens,drinking_fountains,,,,,,,,POINT (144.98268520584864 -37.81367564418339),94
-37.82087279535316,144.94185586107258,Stainless Steel Drinking Fountain / Old Docklands Type,,drinking_fountains,,,,,,,,POINT (144.94185586107258 -37.82087279535316),130
-37.815558943545426,144.93989772357784,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains,,,,,,,,POINT (144.93989772357784 -37.815558943545426),11
-37.78144167402145,144.95595472988092,Stainless Steel Drinking Fountain / Leaf Type,Royal Park,drinking_fountains,,,,,,,,POINT (144.95595472988092 -37.78144167402145),121
-37.78559620252012,144.96932282550418,Drinking Fountain / Monument Style Type 2,Hardy Reserve,drinking_fountains,,,,,,,,POINT (144.96932282550418 -37.78559620252012),44
-37.82424533734149,144.97698410547824,Leaf Type / Dog Bowl ,Kings Domain,drinking_fountains,,,,,,,,POINT (144.97698410547824 -37.82424533734149),110
-37.81010993947886,144.95363625566395,Leaf Type / Dog Bowl ,Flagstaff Gardens,drinking_fountains,,,,,,,,POINT (144.95363625566395 -37.81010993947886),132
-37.8020146095429,144.9605723948678,Historic or Heritage fountains / University Square,,drinking_fountains,,,,,,,,POINT (144.9605723948678 -37.8020146095429),46
-37.7881098191695,144.95949172029708,Leaf Type / With Bottle Refill Tap,Princes Park,drinking_fountains,,,,,,,,POINT (144.95949172029708 -37.7881098191695),44
-37.77732383776788,144.9531895231545,Stainless Steel Drinking Fountain / Leaf Type,Royal Park,drinking_fountains,,,,,,,,POINT (144.9531895231545 -37.77732383776788),121
-37.82168006484173,144.9700370336942,Leaf Type / With Bottle Refill Tap,Queen Victoria Gardens,drinking_fountains,,,,,,,,POINT (144.9700370336942 -37.82168006484173),28
-37.82605853691661,144.9615312833258,Stainless Steel Drinking Fountain / Leaf Type,Boyd Community Hub,drinking_fountains,,,,,,,,POINT (144.9615312833258 -37.82605853691661),90
-37.827087271632976,144.98504460154422,Historic or Heritage Drinking Fountains / Alexandra Park,,drinking_fountains,,,,,,,,POINT (144.98504460154422 -37.827087271632976),110
-37.819734518071364,144.9475652363716,Stainless Steel Drinking Fountain / Leaf Type,Hub@Docklands,drinking_fountains,,,,,,,,POINT (144.9475652363716 -37.819734518071364),10
-37.82017775836843,144.9480020326732,Leaf Type / With Bottle Refill Tap,Hub@Docklands,drinking_fountains,,,,,,,,POINT (144.9480020326732 -37.82017775836843),10
-37.78413055442304,144.9561695135437,Leaf Type / Dog Bowl ,Royal Park,drinking_fountains,,,,,,,,POINT (144.9561695135437 -37.78413055442304),121
-37.78866797179563,144.96246173875772,Leaf Type / With Bottle Refill Tap,Princes Park,drinking_fountains,,,,,,,,POINT (144.96246173875772 -37.78866797179563),44
-37.79256416270773,144.922630804458,Leaf Type / With Bottle Refill Tap,Peppercorn Park,drinking_fountains,,,,,,,,POINT (144.922630804458 -37.79256416270773),103
-37.79148137934659,144.95640337310826,Leaf Type / With Bottle Refill Tap,Royal Park,drinking_fountains,,,,,,,,POINT (144.95640337310826 -37.79148137934659),121
-37.781971287851476,144.95606844481355,Leaf Type / With Bottle Refill Tap,Royal Park,drinking_fountains,,,,,,,,POINT (144.95606844481355 -37.781971287851476),121
-37.79451455017051,144.9159122539464,Leaf Type / Dog Bowl ,Riverside Park,drinking_fountains,,,,,,,,POINT (144.9159122539464 -37.79451455017051),103
-37.819376190936254,144.96425791163875,Stainless Steel Drinking Fountain / Northbank Type,,drinking_fountains,,,,,,,,POINT (144.96425791163875 -37.819376190936254),35
-37.80719483579952,144.97264821832775,Treated Timber Drinking Fountain / Carlton Gardens South,,drinking_fountains,,,,,,,,POINT (144.97264821832775 -37.80719483579952),40
-37.80333644461803,144.94973046402842,Ornamental Drinking Fountain / Errol St North Melbourne,,drinking_fountains,,,,,,,,POINT (144.94973046402842 -37.80333644461803),102
-37.8200996090771,144.96520412105647,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains,,,,,,,,POINT (144.96520412105647 -37.8200996090771),35
-37.81191194838843,144.97076931535327,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains,,,,,,,,POINT (144.97076931535327 -37.81191194838843),71
-37.81108547106561,144.986823716213,Stainless Steel Drinking Fountain / Leaf Type,Powlett Reserve,drinking_fountains,,,,,,,,POINT (144.986823716213 -37.81108547106561),93
-37.79634473440512,144.95295625926101,Treated Timber Drinking Fountain / Ievers Reserve,,drinking_fountains,,,,,,,,POINT (144.95295625926101 -37.79634473440512),121
-37.83352412979702,144.98347223277543,Leaf Type / Dog Bowl ,Kings Domain South,drinking_fountains,,,,,,,,POINT (144.98347223277543 -37.83352412979702),129
-37.81655981940826,144.958479412123,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains,,,,,,,,POINT (144.958479412123 -37.81655981940826),36
-37.81906773607154,144.95451978482612,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains,,,,,,,,POINT (144.95451978482612 -37.81906773607154),23
-37.81262231879966,144.95695726799045,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains,,,,,,,,POINT (144.95695726799045 -37.81262231879966),107
-37.78972452756684,144.95542692736785,Leaf Type / Dog Bowl ,Royal Park,drinking_fountains,,,,,,,,POINT (144.95542692736785 -37.78972452756684),121
-37.81949228639884,144.94459499380662,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains,,,,,,,,POINT (144.94459499380662 -37.81949228639884),10
-37.807152962975586,144.95128617901676,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains,,,,,,,,POINT (144.95128617901676 -37.807152962975586),70
-37.81013008750712,144.99100554178736,Drinking Fountain / Type 1,,drinking_fountains,,,,,,,,POINT (144.99100554178736 -37.81013008750712),93
-37.814022713257685,144.96377589639772,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains,,,,,,,,POINT (144.96377589639772 -37.814022713257685),2
-37.83822661704696,144.9845757117782,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains,,,,,,,,POINT (144.9845757117782 -37.83822661704696),129
-37.80218636204077,144.97111015985016,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains,,,,,,,,POINT (144.97111015985016 -37.80218636204077),37
-37.80154324073521,144.97074694104214,Leaf Type / With Bottle Refill Tap,Carlton Gardens North,drinking_fountains,,,,,,,,POINT (144.97074694104214 -37.80154324073521),31
-37.78615201108828,144.95349293828525,Stainless Steel Drinking Fountain / Leaf Type,Royal Park,drinking_fountains,,,,,,,,POINT (144.95349293828525 -37.78615201108828),121
-37.81992693832316,144.94314585668042,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains,,,,,,,,POINT (144.94314585668042 -37.81992693832316),130
-37.81890778973109,144.97301938244627,Historic or Heritage Drinking Fountains / Birrarung Marr,,drinking_fountains,,,,,,,,POINT (144.97301938244627 -37.81890778973109),127
-37.811441273333834,144.95511626726946,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains,,,,,,,,POINT (144.95511626726946 -37.811441273333834),109
-37.82016422388396,144.9419807414183,Stainless Steel Drinking Fountain / Old Docklands Type,,drinking_fountains,,,,,,,,POINT (144.9419807414183 -37.82016422388396),130
-37.827924925554626,144.98354503295144,unspecified type / Alexandra Park,,drinking_fountains,,,,,,,,POINT (144.98354503295144 -37.827924925554626),129
-37.81472791168905,144.93868934270515,Leaf Type / Dog Bowl ,New Quay Central Park,drinking_fountains,,,,,,,,POINT (144.93868934270515 -37.81472791168905),11
-37.80831892386757,144.97445245211898,Old Style Steel Drinking Fountain,,drinking_fountains,,,,,,,,POINT (144.97445245211898 -37.80831892386757),40
-37.82340947086067,144.94065316721642,Stainless Steel Drinking Fountain / Northbank Type,,drinking_fountains,,,,,,,,POINT (144.94065316721642 -37.82340947086067),130
-37.818393312901414,144.94467796351668,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains,,,,,,,,POINT (144.94467796351668 -37.818393312901414),10
-37.787145044550506,144.95944649397603,Stainless Steel Drinking Fountain / Leaf Type,Princes Park,drinking_fountains,,,,,,,,POINT (144.95944649397603 -37.787145044550506),44
-37.84105383065132,144.98474159117376,unspecified type / Fawkner Park,,drinking_fountains,,,,,,,,POINT (144.98474159117376 -37.84105383065132),129
-37.83912302483119,144.98029597307354,Stainless Steel Drinking Fountain / Leaf Type,Fawkner Park,drinking_fountains,,,,,,,,POINT (144.98029597307354 -37.83912302483119),129
-37.80696316737549,144.97097533310074,Treated Timber Drinking Fountain / Carlton Gardens South,,drinking_fountains,,,,,,,,POINT (144.97097533310074 -37.80696316737549),40
-37.82006369883412,144.94335006764553,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains,,,,,,,,POINT (144.94335006764553 -37.82006369883412),130
-37.82416129460037,144.94386411864073,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains,,,,,,,,POINT (144.94386411864073 -37.82416129460037),8
-37.81047413141583,144.98106657764444,Leaf Type / Dog Bowl ,Fitzroy Gardens,drinking_fountains,,,,,,,,POINT (144.98106657764444 -37.81047413141583),94
-37.81426414724787,144.97865144245154,Leaf Type / With Bottle Refill Tap,Fitzroy Gardens,drinking_fountains,,,,,,,,POINT (144.97865144245154 -37.81426414724787),95
-37.81877097793573,144.97408155357158,Leaf Type / With Bottle Refill Tap,Birrarung Marr,drinking_fountains,,,,,,,,POINT (144.97408155357158 -37.81877097793573),127
-37.811816918335545,144.9647358013035,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains,,,,,,,,POINT (144.9647358013035 -37.811816918335545),3
-37.829394894475676,144.97402641133465,Stainless Steel Drinking Fountain / Leaf Type,Kings Domain South,drinking_fountains,,,,,,,,POINT (144.97402641133465 -37.829394894475676),115
-37.789426340332234,144.92521601291634,Drinking Fountain / Type 1,,drinking_fountains,,,,,,,,POINT (144.92521601291634 -37.789426340332234),103
-37.82093618828216,144.94302877180849,Stainless Steel Drinking Fountain / Old Docklands Type,,drinking_fountains,,,,,,,,POINT (144.94302877180849 -37.82093618828216),130
-37.807299202453336,144.9638063589646,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains,,,,,,,,POINT (144.9638063589646 -37.807299202453336),61
-37.81775113289117,144.9668727624917,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains,,,,,,,,POINT (144.9668727624917 -37.81775113289117),79
-37.78516928275589,144.9629960270774,Stainless Steel Drinking Fountain / Leaf Type,Princes Park,drinking_fountains,,,,,,,,POINT (144.9629960270774 -37.78516928275589),44
-37.808763201408944,144.9755999159518,Drinking Fountain / Monument Style Type 3,,drinking_fountains,,,,,,,,POINT (144.9755999159518 -37.808763201408944),40
-37.81370900165242,144.96521920731234,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains,,,,,,,,POINT (144.96521920731234 -37.81370900165242),2
-37.78528312570061,144.96618877508342,Drinking Fountain / Monument Style Type 5,,drinking_fountains,,,,,,,,POINT (144.96618877508342 -37.78528312570061),44
-37.812116364293914,144.96242655579448,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains,,,,,,,,POINT (144.96242655579448 -37.812116364293914),47
-37.794860401126186,144.97032531494713,Stainless Steel Drinking Fountain / Leaf Type,Neill Street Reserve,drinking_fountains,,,,,,,,POINT (144.97032531494713 -37.794860401126186),50
-37.81933413777128,144.96443696866604,Stainless Steel Drinking Fountain / Northbank Type,,drinking_fountains,,,,,,,,POINT (144.96443696866604 -37.81933413777128),35
-37.797011044237784,144.96719442537855,Stainless Steel Drinking Fountain / Leaf Type,,drinking_fountains,,,,,,,,POINT (144.96719442537855 -37.797011044237784),50
-37.817347815583766,144.9877967436974,Stainless Steel Drinking Fountain / Leaf Type,Bottle Refill Tap,drinking_fountains,,,,,,,,POINT (144.9877967436974 -37.817347815583766),93
-37.80873006707316,144.945010465895,Stainless Steel Drinking Fountain / Leaf Type,Hawke and Adderley Street Park,drinking_fountains,,,,,,,,POINT (144.945010465895 -37.80873006707316),77
-37.81522141134258,144.96172628554172,Drinking Fountain / Type 1,,drinking_fountains,,,,,,,,POINT (144.96172628554172 -37.81522141134258),36
-37.82050899334054,144.94485852337164,Stainless Steel Drinking Fountain / Northbank Type,,drinking_fountains,,,,,,,,POINT (144.94485852337164 -37.82050899334054),10
-37.79332999851195,144.97374160438724,Treated Timber Drinking Fountain / Neill & Canning Street Reserve (CARLTON),,drinking_fountains,,,,,,,,POINT (144.97374160438724 -37.79332999851195),50
-37.82553356070186,144.96099800648864,Historic or Heritage Drinking Fountains / Boyd Community Hub (SOUTHBANK),,drinking_fountains,,,,,,,,POINT (144.96099800648864 -37.82553356070186),90
