tree_common_name,tree_scientific_name,date_of_tree_planted,latitude,longitude,title,category
Liquidamber or Sweet Gum,Liquidambar styraciflua,2000-01-02,-37.831342688697845,144.972214956105,royal australia army service corps (raasc),plaques
Turkey Oak,Quercus cerris,1998-07-09,-37.83090144159808,144.9723805385307,4th anti-tank regiment malaya,plaques
Algerian Oak,Quercus canariensis,1998-03-09,-37.83183782873909,144.97483470040402,h.m.a.s. shropshire,plaques
English Elm,Ulmus procera,1998-07-09,-37.82828698093195,144.97268570613167,55th battery.,plaques
Midland Hawthorn,Crataegus laevigata,1998-02-09,-37.83225825619569,144.9746792438686,"h.m.a.s. ""assault""",plaques
,,,-37.828686695420366,144.97319592706003,sesquicentenary celebration of the state of vict,plaques
Atlas Cedar,Cedrus atlantica,2010-08-30,-37.830399606285816,144.97207875540332,commando and special forces support units,plaques
Spotted Gum,Corymbia maculata,2012-09-06,-37.82830993024372,144.97322827839452,infantry 57th battalion,plaques
London Plane,Platanus acerifolia,1998-07-09,-37.83192975550061,144.97321170883876,2/4th light anti-aircraft regiment 9th division a.i.f.,plaques
Spotted Gum,Corymbia maculata,1998-07-09,-37.83213732411669,144.9728731147446,the australian legion of ex-servicemen and women,plaques
River Red Gum,Eucalyptus camaldulensis,1998-07-09,-37.83139408914615,144.97204947974228,royal australian engineers (transportation service),plaques
UNKNOWN,UNKNOWN UNKNOWN,2000-01-02,-37.82857184574517,144.97173886572406,2/33 battalion,plaques
English Elm,Ulmus procera,1998-07-09,-37.82875539181881,144.97236009726893,22nd australian infantry battalion,plaques
Chinese Elm,Ulmus parvifolia,2010-08-30,-37.83232961609321,144.97328030157766,2/25th australian infantry battalion 25 brigade - 7 division,plaques
Bhutan Cypress,Cupressus torulosa,2006-01-10,-37.83043897249816,144.97260112366627,totally and permanently incapacitated ex-servicemen and women of victoria,plaques
Deodar,Cedrus deodara,1998-07-09,-37.829183483851835,144.97374917209865,india,plaques
River Sheoak,Casuarina cunninghamiana,1998-07-09,-37.83242149789316,144.97315246113516,no 2 airfield construction squadron,plaques
Algerian Oak,Quercus canariensis,1998-07-09,-37.82926151143797,144.9716863489285,prisoners of war,plaques
Spotted Gum,Corymbia maculata,1998-07-09,-37.82796510980705,144.97267690538854,1st royal australian naval bridging train,plaques
Spotted Gum,Corymbia maculata,1998-07-09,-37.82893297319674,144.97223741460692,2/22nd battalion - lark force,plaques
Kaffir Plum,Harpephyllum caffrum,2012-10-24,-37.82818998569766,144.97293002280037,south africa,plaques
Brush Box,Lophostemon confertus,1998-02-09,-37.82997566384628,144.9741184631029,"1, 8, 21, 453 & h.q. squadrons",plaques
English Elm,Ulmus procera,1998-07-09,-37.82954925726285,144.97172823378216,58th/59th battalion,plaques
Willow Leaf Peppermint,Eucalyptus nicholii,1998-02-09,-37.830062567393824,144.9742092537742,the royal air force,plaques
Bhutan Cypress,Cupressus torulosa,2006-01-10,-37.82993784987579,144.9738901006619,beaufort squadrons,plaques
Pyramid Tree,Lagunaria patersonia,2000-01-02,-37.82835598396791,144.97203529425366,middle east voluntary aid detachment,plaques
Yellow Gum,Eucalyptus leucoxylon,2010-08-30,-37.82986090544607,144.9720590787933,4th australia field regiment,plaques
Bhutan Cypress,Cupressus torulosa,1998-07-09,-37.82794978271682,144.97215321466152,thirtyniners' association of australia,plaques
Spotted Gum,Corymbia maculata,1998-07-09,-37.82957989603619,144.97231934669176,57/60th infantry battalion,plaques
London Plane,Platanus acerifolia,1998-07-09,-37.832166711860516,144.97354893179607,the australian flying corps,plaques
Japanese Chestnut Oak,Quercus acutissima,2012-07-03,-37.831780533454804,144.97529166351458,defensively equipped merchant ships,plaques
Japanese Chestnut Oak,Quercus acutissima,2010-08-30,-37.8309489230909,144.97216017824692,2/29 battalion,plaques
Liquidamber or Sweet Gum,Liquidambar styraciflua,2000-01-02,-37.83047445879829,144.9720662528518,commando squadrons,plaques
Stone Pine,Pinus pinea,2010-08-30,-37.830362146694775,144.9723002031415,2/2 australian infantry battalion,plaques
Algerian Oak,Quercus canariensis,1998-03-09,-37.831726895729076,144.9745781081422,h.m.a.s. parramatta,plaques
River Red Gum,Eucalyptus camaldulensis,1998-07-09,-37.831473685884944,144.97217114744524,royal australian corps of transport (ract),plaques
Spotted Gum,Corymbia maculata,1998-07-09,-37.83220816674622,144.97308830818562,no. 460 squadron (raaf),plaques
English Elm,Ulmus procera,1998-07-09,-37.827953261167444,144.9720046234248,2/8th australian field regiment,plaques
Lemon Scented Gum,Corymbia citriodora,2010-08-27,-37.82881385726491,144.97374076430089,nursing service & w.a.a.a.f  r.a.a.f.,plaques
Holm Oak,Quercus ilex,2011-10-06,-37.8311522259104,144.97217574519863,h.m.a.h.s. wanganella,plaques
English Elm,Ulmus procera,1998-07-09,-37.82722962235372,144.97219849378877,royal australian artillery siege brigade.,plaques
Cork Oak,Quercus suber,2012-07-03,-37.83123205663128,144.97447836090356,royal australian naval landing party,plaques
London Plane,Platanus acerifolia,1998-07-09,-37.828789407517824,144.9719020840633,2/12 aust. field regiment,plaques
Spotted Gum,Corymbia maculata,2000-01-01,-37.829048339091976,144.97352586123426,6th battalion,plaques
Algerian Oak,Quercus canariensis,2012-08-03,-37.83125389683184,144.97218727765542,royal australian army nursing corps,plaques
English Oak,Quercus robur,1998-04-09,-37.831631210723664,144.97472593338918,h.m.a. ships kanimbla westralia manoora moreton bay arawa,plaques
,,,-37.82817298081211,144.97386873140948,sybil howy irving,plaques
Turkey Oak,Quercus cerris,2014-11-11,-37.83130874206335,144.97211192227965,royal australian army medical corps,plaques
Pin Oak,Quercus palustris,2000-01-02,-37.831842270438095,144.97441190534357,h.m.a.s. benalla,plaques
