address,latitude,created_date,longitude,organisation,classification,name,category,title,type,website,tree_common_name,tree_scientific_name,date_of_tree_planted,theme,sub_theme,geometry,location_id
"122 George Street, East Melbourne, 3002",-37.81527551487422,,144.9863774281896,,,East Melbourne Library,music_venues,,Library,http://www.melbourne.vic.gov.au/community/libraries/Pages/libraries.aspx,,,,,,POINT (144.9863774281896 -37.81527551487422),93
"11A Highlander Lane, Melbourne, 3000",-37.81969180587922,,144.9580106038663,,,Highlander Bar,music_venues,,Bar,http://highlanderbar.squarespace.com/,,,,,,POINT (144.9580106038663 -37.81969180587922),131
"487-503 Collins Street, Melbourne, 3000",-37.81812958399533,,144.95792591365702,,,InterContinental Melbourne The Rialto,music_venues,,Accommodation,https://www.melbourne.intercontinental.com/,,,,,,POINT (144.95792591365702 -37.81812958399533),131
"Rear, 359 Lonsdale Street, Melbourne, 3000",-37.81255176993681,,144.9618356969375,,,Whitehart Bar,music_venues,,,,,,,,,POINT (144.9618356969375 -37.81255176993681),52
"68 Little Collins Street, Melbourne, 3000",-37.81290578487124,,144.97136869242834,,,Boney,music_venues,,Venue,http://www.boney.net.au/,,,,,,POINT (144.97136869242834 -37.81290578487124),71
"62 Little Collins Street, Melbourne, 3000",-37.812865395242035,,144.97150999418588,,,Magic Mountain Saloon,music_venues,,Bar,http://www.magicmountainsaloon.com.au/,,,,,,POINT (144.97150999418588 -37.812865395242035),71
"45 South Wharf Promenade, South Wharf, 3006",-37.82407576505346,,144.95043329351685,,,Munich Brauhaus,music_venues,,Hotel,http://www.munichbrauhaus.com/,,,,,,POINT (144.95043329351685 -37.82407576505346),8
"Shop 12-16, Ground, 3 Southgate Avenue, Southbank, 3006",-37.82033397996246,,144.9664180424327,,,P.J. O'Brien's,music_venues,,Hotel,http://www.pjobriens.com.au/southbank/,,,,,,POINT (144.9664180424327 -37.82033397996246),35
"Shop 5, 101 Waterfront Way, Docklands, 3008",-37.811708257763414,,144.93818411601958,,,Wonderland Under the Melbourne Star,music_venues,,Amusement/Theme Venue,https://www.melbournestar.com/?gclid=CjwKCAiAmb7RBRATEiwA7kS8VBQVMosVIhqHOV3pMaapzYqC9b15mj8JCZDZ2QitiLOvI-qVdKuh5hoCTtgQAvD_BwE,,,,,,POINT (144.93818411601958 -37.811708257763414),11
"Basement & Rear, 389 Lonsdale Street, Melbourne, 3000",-37.81278386278497,,144.96103223580576,,,Golden Monkey,music_venues,,Bar,http://goldenmonkey.com.au/,,,,,,POINT (144.96103223580576 -37.81278386278497),56
"176 Bellair Street, Kensington, 3031",-37.79363079251513,,144.9300832037398,,,White Rabbit Record Bar,music_venues,,Bar,http://www.whiterabbitrecords.com.au/White_Rabbit_Record_Bar/home.html,,,,,,POINT (144.9300832037398 -37.79363079251513),85
"21-25 Croft Alley, Melbourne, 3000",-37.8120527407846,,144.96912389323862,,,The Croft Institute,music_venues,,Nightclub,http://www.thecroftinstitute.com.au/,,,,,,POINT (144.96912389323862 -37.8120527407846),20
"29 South Wharf Promenade, South Wharf, 3006",-37.82411828690496,,144.95189029706034,,,The General Assembly,music_venues,,Hotel,http://www.thegeneralassembly.com.au/,,,,,,POINT (144.95189029706034 -37.82411828690496),25
"180 St Kilda Road, Southbank, 3006",-37.82289869795763,,144.9695692957962,,,National Gallery of Victoria,music_venues,,Amusement/Theme Venue,https://www.ngv.vic.gov.au/,,,,,,POINT (144.9695692957962 -37.82289869795763),28
"199-203 Russell Street, Melbourne, 3000",-37.81176295391396,,144.96743873754548,,,Exford Hotel,music_venues,,Hotel,http://www.exfordhotel.com.au/,,,,,,POINT (144.96743873754548 -37.81176295391396),21
"Sea Life Melbourne Aquarium, King Street, Melbourne, 3000",-37.8209995658432,,144.95804714265464,,,Sea Life Melbourne Aquarium,music_venues,,Amusement/Theme Venue,https://www.melbourneaquarium.com.au/,,,,,,POINT (144.95804714265464 -37.8209995658432),131
"2 Clarendon Street, South Wharf, 3006",-37.823627136260576,,144.9560231776494,,,The Plenary Hall,music_venues,,Multi-use,http://mcec.com.au/plan-an-event/rooms/plenary/,,,,,,POINT (144.9560231776494 -37.823627136260576),25
"17 Church Street, Parkville, 3052",-37.78783638375116,,144.9416332134173,,,Ormond Hall,music_venues,,Performance space,https://www.onlymelbourne.com.au/ormond-hall,,,,,,POINT (144.9416332134173 -37.78783638375116),121
"107 Victoria Harbour Promenade, Docklands, 3008",-37.819873054704324,,144.94075608935833,,,Library at The Dock,music_venues,,Multi-use,http://www.melbourne.vic.gov.au/community/hubs-bookable-spaces/the-dock/library-at-the-dock/Pages/library-at-the-dock.aspx,,,,,,POINT (144.94075608935833 -37.819873054704324),92
